Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,42.59,43.97,42.38,43.76,3417800,43.76
2010-12-02,42.24,43.09,42.15,42.88,3052100,42.88
2010-12-01,41.76,42.60,41.65,42.28,3174200,42.28
2010-11-30,40.99,41.58,40.93,41.29,1750500,41.29
2010-11-29,41.07,41.65,40.60,41.53,2470400,41.53
2010-11-26,41.25,41.64,41.09,41.25,932500,41.25
2010-11-24,41.27,41.76,41.15,41.76,1735200,41.76
2010-11-23,41.61,41.74,40.82,40.85,2727600,40.85
2010-11-22,42.64,42.65,41.75,42.14,2337400,42.14
2010-11-19,42.30,42.82,42.05,42.73,2160800,42.73
2010-11-18,42.26,42.85,42.10,42.56,2278600,42.56
2010-11-17,41.64,42.30,41.53,41.78,2562800,41.78
2010-11-16,42.06,42.37,41.32,41.71,3530300,41.71
2010-11-15,41.99,42.80,41.97,42.42,2424100,42.42
2010-11-12,42.19,42.40,41.32,41.81,2651500,41.81
2010-11-11,42.50,42.90,42.07,42.51,1793000,42.51
2010-11-10,42.82,43.25,41.94,42.99,4410900,42.99
2010-11-09,44.54,44.80,42.61,42.86,4163800,42.86
2010-11-08,45.41,45.43,44.45,44.63,4039000,44.63
2010-11-05,43.19,45.95,43.03,45.61,10686700,45.61
2010-11-04,44.06,44.74,43.40,44.74,5411000,44.74
2010-11-03,42.18,44.10,42.10,43.57,9544200,43.57
2010-11-02,42.10,42.48,41.93,42.12,2341900,42.12
2010-11-01,41.94,42.24,41.33,41.92,2741800,41.92
2010-10-29,41.95,42.20,41.50,42.01,1763900,42.01
2010-10-28,42.00,42.28,41.50,41.98,2576100,41.98
2010-10-27,41.86,42.29,41.26,41.82,2388600,41.82
2010-10-26,40.84,42.05,40.84,42.03,3244600,42.03
2010-10-25,41.95,41.97,41.10,41.10,3576300,41.10
2010-10-22,41.92,42.39,41.30,41.56,2799600,41.56
2010-10-21,41.79,42.30,41.05,41.28,3489100,41.28
2010-10-20,41.33,42.13,41.18,41.61,3271600,41.61
2010-10-19,41.80,42.00,40.80,41.01,3573500,41.01
2010-10-18,41.63,42.47,41.61,42.26,3395800,42.26
2010-10-15,42.30,42.36,40.82,41.47,3699700,41.47
2010-10-14,42.72,43.57,41.40,41.94,6276000,41.94
2010-10-13,41.97,42.85,41.70,42.71,6217800,42.71
2010-10-12,40.86,42.00,40.81,41.78,5206100,41.78
2010-10-11,41.16,41.35,40.89,41.04,3477000,41.04
2010-10-08,40.75,41.20,40.31,40.91,4456600,40.91
2010-10-07,40.61,41.40,40.20,40.47,3968800,40.47
2010-10-06,39.81,40.87,39.65,40.74,5560700,40.74
2010-10-05,39.47,40.00,39.36,39.94,5312600,39.94
2010-10-04,38.81,39.46,38.41,39.28,5732700,39.28
2010-10-01,38.99,39.47,38.30,38.86,6588600,38.86
2010-09-30,39.95,40.14,37.88,39.10,18751300,39.10
2010-09-29,37.24,38.58,37.05,37.45,7155600,37.45
2010-09-28,37.27,37.42,36.38,37.32,4126000,37.32
2010-09-27,36.90,38.61,36.33,37.13,9960200,37.13
2010-09-24,35.54,36.50,35.41,36.47,3322900,36.47
2010-09-23,35.51,35.86,35.00,35.07,2438800,35.07
2010-09-22,36.50,36.87,35.51,35.67,2931100,35.67
2010-09-21,36.66,37.13,36.40,36.61,4318200,36.61
2010-09-20,35.65,36.74,35.60,36.60,3114200,36.60
2010-09-17,35.86,35.99,35.40,35.64,2139800,35.64
2010-09-16,36.12,36.12,35.37,35.71,2174000,35.71
2010-09-15,36.12,36.79,35.67,36.16,2899700,36.16
2010-09-14,36.84,36.92,36.01,36.13,3090200,36.13
2010-09-13,36.96,37.26,36.65,36.92,2852100,36.92
2010-09-10,36.25,36.48,36.01,36.35,1270200,36.35
2010-09-09,36.90,37.06,36.00,36.29,1742300,36.29
2010-09-08,35.55,36.73,35.50,36.28,2432800,36.28
2010-09-07,36.47,36.47,35.52,35.57,2844200,35.57
2010-09-03,36.52,36.90,36.18,36.70,2352200,36.70
2010-09-02,35.56,36.00,35.21,35.92,2305900,35.92
2010-09-01,34.69,35.66,34.39,35.66,3553700,35.66
2010-08-31,33.84,34.47,33.55,33.93,2763800,33.93
2010-08-30,35.15,35.18,34.00,34.00,2673000,34.00
2010-08-27,34.23,35.29,34.12,35.20,3103700,35.20
2010-08-26,33.82,34.77,33.68,33.99,2868900,33.99
2010-08-25,34.52,34.52,33.35,34.40,3774400,34.40
2010-08-24,34.64,34.79,34.06,34.27,2595000,34.27
2010-08-23,35.27,35.87,35.01,35.04,2246400,35.04
2010-08-20,35.23,36.15,34.75,35.17,3419100,35.17
2010-08-19,36.84,36.88,35.34,35.55,3466200,35.55
2010-08-18,36.37,36.86,35.95,36.83,2432300,36.83
2010-08-17,36.59,36.98,36.10,36.42,2886500,36.42
2010-08-16,36.31,36.50,35.51,35.96,3437500,35.96
2010-08-13,37.20,37.50,36.53,36.67,3203900,36.67
2010-08-12,37.08,37.65,36.86,37.10,3206200,37.10
2010-08-11,39.12,39.26,37.60,37.84,4855800,37.84
2010-08-10,41.03,41.03,40.07,40.19,4802900,40.19
2010-08-09,40.92,42.09,40.76,41.64,5296600,41.64
2010-08-06,40.52,42.19,39.90,40.93,13356800,40.93
2010-08-05,39.78,40.41,39.51,39.90,4082400,39.90
2010-08-04,39.87,40.43,39.41,40.02,4553300,40.02
2010-08-03,40.05,40.17,39.16,39.59,3624900,39.59
2010-08-02,39.10,40.68,39.10,40.04,7836600,40.04
2010-07-30,38.33,39.30,38.01,38.47,2402700,38.47
2010-07-29,39.39,40.08,38.08,38.97,4337800,38.97
2010-07-28,38.90,40.00,38.50,39.03,4214600,39.03
2010-07-27,38.84,40.11,37.94,39.15,6419500,39.15
2010-07-26,36.67,39.48,36.66,38.70,8026100,38.70
2010-07-23,36.46,37.25,35.90,36.77,3187000,36.77
2010-07-22,35.95,36.86,35.72,36.49,3988500,36.49
2010-07-21,36.67,36.77,35.07,35.31,3434900,35.31
2010-07-20,34.72,36.40,34.51,36.31,3812400,36.31
2010-07-19,35.72,35.97,34.67,35.39,3091900,35.39
